Тип приема пищи,Дата и время,Вид приема пищи,Калории приема пищи,Белки приема пищи,Жиры приема пищи,Углеводы приема пищи,DayKey,DayDate,Описание
Завтрак,2026-02-24T07:30:00.000Z,Основной прием пищи,707.6,44.5,9.1,105.9,Силовой день •  24.02.2026,2026-02-24,
Перекус,2026-02-24T09:30:00.000Z,Перекус,886,16.6,39.2,116.6,Силовой день •  24.02.2026,2026-02-24,
Обед,2026-02-24T12:00:00.000Z,Основной прием пищи,600,27,30.5,153.5,Силовой день •  24.02.2026,2026-02-24,
Перекус,2026-02-24T16:30:00.000Z,Перекус,178.2,3.3,0,42.9,Силовой день •  24.02.2026,2026-02-24,
Завтрак,2026-02-25T07:30:56.505Z,Основной прием пищи,758.5,28.25,26.25,103.5,День без тренировок •  25.02.2026,2026-02-25,
Перекус,2026-02-24T20:00:00.000Z,Перекус,120.6,23.099999999999998,1.7999999999999998,2.6999999999999997,Силовой день •  24.02.2026,2026-02-24,
Перекус,2026-02-25T09:30:00.000Z,Перекус,243,4.5,0,58.5,День без тренировок •  25.02.2026,2026-02-25,
